job_title,required_skills
Data Scientist,Python | Machine Learning | Statistics | SQL | Deep Learning | Data Visualization | Pandas | NumPy | Scikit-learn | Feature Engineering | R | Tableau | Jupyter Notebook | Data Cleaning | Matplotlib | Seaborn | XGBoost | Model Deployment | Hypothesis Testing | Big Data
Machine Learning Engineer,Python | Machine Learning | Deep Learning | PyTorch | TensorFlow | MLOps | Scikit-learn | Feature Engineering | Docker | Kubernetes | Cloud | Statistics | Data Pipelines | Model Evaluation | Git | Linux | REST API | NumPy | Pandas | Spark
AI Engineer,Python | LLMs | Deep Learning | PyTorch | Prompt Engineering | LangChain | Vector Databases | RAG | Fine Tuning | Transformers | Hugging Face | OpenAI API | MLOps | Docker | Cloud | Git | NLP | Machine Learning | FastAPI | Linux
Data Analyst,SQL | Excel | Power BI | Data Visualization | Statistics | Python | Tableau | Pandas | Data Cleaning | Google Analytics | Looker | Business Acumen | Communication | Pivot Tables | ETL | R | Power Query | DAX | Storytelling with Data | Google Sheets
Data Engineer,Python | SQL | Apache Spark | Apache Kafka | Apache Airflow | Data Pipelines | Cloud | Data Warehousing | dbt | Docker | Git | Linux | Snowflake | NoSQL | Hadoop | ETL | Pandas | Scala | Redshift | BigQuery
MLOps Engineer,Python | MLOps | Docker | Kubernetes | Cloud | CI/CD | Machine Learning | MLflow | Apache Airflow | Model Monitoring | Feature Stores | Git | Linux | Terraform | Bash | Prometheus | Grafana | DVC | Kubeflow | BentoML
Database Administrator,SQL | Database Design | PostgreSQL | Performance Tuning | Backup Recovery | Linux | MySQL | MongoDB | Replication | Indexing | Oracle | Redis | Stored Procedures | Bash | Python | Cloud | High Availability | Data Modeling | Security | Partitioning
Quantitative Analyst,Python | Statistics | Mathematics | Financial Modeling | Machine Learning | R | SQL | Time Series Analysis | Monte Carlo Simulation | Risk Management | Excel | Stochastic Calculus | Bloomberg Terminal | VBA | Derivatives | Pandas | NumPy | Probability Theory | Optimization | Portfolio Management
Business Intelligence Developer,SQL | Power BI | Data Modeling | Data Warehousing | Tableau | Excel | ETL | Python | DAX | Azure Synapse | SSRS | OLAP | Data Governance | MDX | Looker | SAP BI | QlikView | Google Data Studio | Data Quality | Reporting
NLP Engineer,Python | NLP | Deep Learning | Transformers | Hugging Face | PyTorch | Text Preprocessing | LLMs | Machine Learning | Statistics | NLTK | spaCy | BERT | GPT | Tokenization | Named Entity Recognition | Sentiment Analysis | Word Embeddings | TF-IDF | ONNX
Computer Vision Engineer,Python | Computer Vision | Deep Learning | PyTorch | OpenCV | CNNs | Image Processing | TensorFlow | YOLO | Mathematics | Object Detection | Image Segmentation | 3D Vision | Data Augmentation | Transfer Learning | TensorRT | CUDA | ROS | Point Cloud | GANs
Frontend Developer,HTML | CSS | JavaScript | React | TypeScript | Responsive Design | Git | REST API | Testing | Next.js | Redux | Webpack | Sass | GraphQL | Vue.js | Angular | Accessibility | Performance Optimization | Web Security | PWA
Backend Developer,Python | Node.js | SQL | REST API | System Design | Docker | Git | Redis | Microservices | Linux | Java | Spring Boot | PostgreSQL | MongoDB | Kafka | GraphQL | Authentication | WebSockets | Caching | Message Queues
Fullstack Developer,JavaScript | React | Node.js | SQL | REST API | HTML | CSS | Git | TypeScript | Docker | MongoDB | Testing | Next.js | Linux | Authentication | Redis | GraphQL | WebSockets | CI/CD | Cloud
React Developer,React | JavaScript | TypeScript | HTML | CSS | Redux | REST API | Git | Testing | Next.js | React Hooks | Context API | Jest | React Query | Styled Components | GraphQL | Webpack | Performance Optimization | Storybook | Accessibility
Python Developer,Python | Django | Flask | FastAPI | SQL | REST API | Git | Docker | Testing | Linux | Celery | Redis | PostgreSQL | SQLAlchemy | Pytest | Pandas | NumPy | Asyncio | Pydantic | Cloud
Java Developer,Java | Spring Boot | SQL | REST API | Microservices | Git | Maven | JUnit | Docker | Design Patterns | Hibernate | Kafka | Cloud | Kubernetes | Multithreading | Spring Security | Redis | Gradle | JPA | Reactive Programming
PHP Developer,PHP | Laravel | MySQL | HTML | CSS | JavaScript | REST API | Git | WordPress | Linux | Composer | Blade Templates | Eloquent ORM | PHPUnit | Redis | Docker | Vue.js | API Authentication | Queue Jobs | Caching
.NET Developer,C# | .NET | ASP.NET | SQL | REST API | Entity Framework | Azure | Git | Microservices | Docker | LINQ | WPF | Blazor | SignalR | Unit Testing | Dependency Injection | Design Patterns | CI/CD | Kubernetes | gRPC
WordPress Developer,WordPress | PHP | HTML | CSS | JavaScript | MySQL | Theme Development | Plugin Development | WooCommerce | SEO Basics | Elementor | ACF | REST API | Git | Performance Optimization | Security Hardening | Page Builders | Multisite | Gutenberg | CDN
GraphQL Developer,GraphQL | JavaScript | Node.js | TypeScript | REST API | SQL | Apollo | React | Git | Docker | Schema Design | Resolvers | Authentication | DataLoader | Subscriptions | Federation | Testing | PostgreSQL | MongoDB | Redis
Blockchain Developer,Solidity | Smart Contracts | JavaScript | Web3.js | Cryptography | Ethereum | Python | Hardhat | DeFi | Git | Truffle | Ethers.js | IPFS | NFTs | Rust | Layer 2 Solutions | Cross-chain Protocols | Security Auditing | Tokenomics | ERC Standards
DevOps Engineer,Linux | Docker | Kubernetes | CI/CD | Cloud | Terraform | Bash | Git | Monitoring | Ansible | Prometheus | Grafana | Jenkins | GitHub Actions | Helm | Nginx | ELK Stack | Security | Load Balancing | Service Mesh
Cloud Engineer,Cloud | Terraform | Docker | Kubernetes | Linux | Networking | Python | CI/CD | Serverless | IAM | VPC | CDN | Cost Optimization | Ansible | Monitoring | Load Balancing | DNS | Auto Scaling | Cloud Security | Multi-Cloud
Site Reliability Engineer,Linux | Python | Monitoring | Kubernetes | Docker | Incident Management | Cloud | Distributed Systems | SLO/SLA | Prometheus | Grafana | Chaos Engineering | Automation | Bash | Git | Networking | On-Call Practices | Capacity Planning | Postmortem | Runbooks
AWS Solutions Architect,AWS | Cloud Architecture | Terraform | Networking | Security | Docker | Kubernetes | Linux | Cost Optimization | Python | Well-Architected Framework | Migration | High Availability | Disaster Recovery | Serverless | CloudFormation | ECS/EKS | RDS | S3 | Lambda
Systems Administrator,Linux | Windows Server | Networking | Active Directory | Bash | Virtualization | Backup Recovery | PowerShell | Cloud | Monitoring | DNS | DHCP | NFS/SMB | LDAP | Email Servers | VMware | Hyper-V | Patch Management | Capacity Planning | Security
Cybersecurity Analyst,Networking | Linux | Security Fundamentals | Incident Response | SIEM | Python | Vulnerability Assessment | Firewalls | Cryptography | Cloud Security | Threat Intelligence | Log Analysis | IDS/IPS | OWASP | Penetration Testing | Malware Analysis | Forensics | Compliance | Risk Assessment | Security Auditing
Penetration Tester,Ethical Hacking | Networking | Linux | Python | Web App Security | Metasploit | Burp Suite | OWASP | Kali Linux | Vulnerability Assessment | Social Engineering | Bash | Wireshark | Nmap | Report Writing | Mobile Security | Cloud Security | Active Directory Attacks | Exploit Development | Red Team Operations
Cloud Security Engineer,Cloud Security | Cloud | IAM | Security Fundamentals | Networking | Terraform | Compliance | Python | Linux | SIEM | Zero Trust | CSPM | Container Security | Encryption | DLP | CASB | Threat Detection | Security Automation | DevSecOps | Incident Response
SOC Analyst,SIEM | Incident Response | Networking | Threat Intelligence | Security Fundamentals | Linux | Log Analysis | Malware Analysis | Firewalls | Python | Wireshark | Vulnerability Scanning | IOC Analysis | Playbook Development | Cloud Security | EDR | OSINT | Forensics | Ticketing Systems | Communication
Application Security Engineer,OWASP | Secure Code Review | Web App Security | Python | JavaScript | Penetration Testing | CI/CD Security | Cryptography | Docker | Git | SAST/DAST | Threat Modeling | API Security | Authentication | Authorization | Supply Chain Security | Fuzzing | Bug Bounty | Security Architecture | SDLC Security
Android Developer,Kotlin | Android SDK | Jetpack Compose | REST API | MVVM Architecture | Firebase | Git | Java | Testing | Coroutines | Room Database | Retrofit | Dagger/Hilt | Navigation Component | WorkManager | Notifications | Google Play Deployment | Material Design | ProGuard | CI/CD
iOS Developer,Swift | Xcode | SwiftUI | UIKit | REST API | Core Data | Git | Testing | Concurrency | Combine | Alamofire | CocoaPods/SPM | Push Notifications | App Store Deployment | Core Location | AVFoundation | CloudKit | ARKit | In-App Purchase | TestFlight
Flutter Developer,Flutter | Dart | REST API | State Management | Firebase | Git | UI/UX Design | Testing | Platform Channels | Animations | Riverpod | BLoC Pattern | SQLite | Push Notifications | App Store Deployment | Responsive Layouts | Clean Architecture | CI/CD | Flavors | Internationalization
React Native Developer,React Native | JavaScript | React | REST API | TypeScript | Redux | Firebase | Git | Testing | Native Modules | Expo | Navigation | AsyncStorage | Push Notifications | App Store Deployment | Animations | Debugging | Performance Optimization | CI/CD | Deep Linking
UI/UX Designer,Figma | UI Design | UX Research | Prototyping | User Testing | Wireframing | Design Systems | Typography | Color Theory | Accessibility | User Journey Mapping | A/B Testing | Information Architecture | Interaction Design | Motion Design | Adobe XD | Sketch | Usability Testing | Persona Creation | Design Thinking
Graphic Designer,Adobe Photoshop | Adobe Illustrator | Typography | Color Theory | Layout Design | Brand Identity | Figma | Adobe InDesign | Adobe After Effects | Motion Graphics | Print Design | Illustration | Packaging Design | Photography | Digital Marketing | Social Media Design | Icon Design | Logo Design | Mockup Design | Presentation Design
Product Designer,Figma | UI Design | UX Research | Design Systems | Prototyping | User Journey Mapping | A/B Testing | Product Strategy | Communication | HTML/CSS | Data Analysis | Stakeholder Management | Design Sprints | Accessibility | Motion Design | User Flows | Competitive Analysis | Metrics | Sketch | InVision
Product Manager,Product Strategy | Roadmap Planning | User Research | Agile | Data Analysis | Stakeholder Management | A/B Testing | SQL | Jira | OKRs | Customer Interviews | Prioritization | Go-to-Market Strategy | Competitive Analysis | Communication | Wireframing | Feature Scoping | KPIs | Sprint Planning | Market Research
Scrum Master,Scrum | Agile | Communication | Facilitation | Leadership | Conflict Resolution | Jira | Kanban | Coaching | Sprint Planning | Retrospectives | Risk Management | Confluence | Reporting | Servant Leadership | Impediment Removal | Team Building | Velocity Tracking | Burn-Down Charts | SAFe Framework
Business Analyst,Requirements Gathering | Data Analysis | Communication | SQL | Process Mapping | Excel | Agile | Power BI | UML Diagrams | Stakeholder Management | BPMN | Use Case Modeling | Gap Analysis | Change Management | Visio | SWOT Analysis | Test Case Review | Documentation | Presentation Skills | Risk Analysis
Technical Project Manager,Project Management | Agile | Risk Management | Stakeholder Management | Communication | Technical Background | Jira | Budgeting | MS Project | Reporting | Waterfall | Resource Planning | Scope Management | Change Management | Quality Assurance | Confluence | Schedule Management | Contract Management | Issue Tracking | Leadership
IT Manager,IT Leadership | Budgeting | Vendor Management | Networking | Security Fundamentals | Communication | Cloud | ITIL | Risk Management | Strategic Planning | Team Management | SLA Management | Asset Management | Disaster Recovery | Compliance | Procurement | Performance Management | Change Management | Capacity Planning | IT Governance
CTO,Technical Leadership | System Architecture | Team Building | Strategic Planning | Cloud | Communication | Agile | Budget Management | Security | Product Strategy | Technology Roadmap | Innovation | Recruitment | Stakeholder Management | Mergers & Acquisitions | Engineering Culture | Metrics | Vendor Management | Regulatory Compliance | R&D Management
Software Architect,System Design | Microservices | Design Patterns | Cloud | API Design | SQL | Security | Performance Optimization | Technical Leadership | Event-Driven Architecture | Distributed Systems | Message Queues | NoSQL | Domain-Driven Design | CQRS | Service Mesh | Observability | Database Design | Containerization | Documentation
QA Engineer,Manual Testing | Test Case Design | Automation Testing | Python | Selenium | API Testing | Git | CI/CD | Postman | Performance Testing | Cypress | Playwright | JMeter | BDD | Test Planning | Bug Reporting | Agile | SQL | Mobile Testing | Security Testing
Game Developer,Unity | C# | Game Design | Physics Simulation | 3D Modeling | Animation | Shader Programming | Git | C++ | Unreal Engine | Level Design | Audio Design | Multiplayer Networking | Performance Optimization | UI Design | Particle Systems | AI Behavior | Version Control | Asset Pipeline | Game Analytics
Embedded Systems Engineer,C | C++ | Microcontrollers | RTOS | Electronics | Debugging | Linux | Assembly | IoT Protocols | UART/SPI/I2C | CAN Bus | ARM Architecture | JTAG Debugging | Device Drivers | Bootloaders | Memory Management | Power Optimization | Signal Processing | PCB Design | Safety Standards
AR/VR Developer,Unity | C# | XR Development | ARKit/ARCore | 3D Modeling | Shader Programming | Spatial Computing | Physics Simulation | OpenXR | Unreal Engine | Haptics | Gesture Recognition | 3D Audio | Oculus SDK | HoloLens SDK | Performance Optimization | UX for XR | Computer Vision | Animation | WebXR
IoT Developer,Python | C | Microcontrollers | IoT Protocols | MQTT | Networking | Electronics | Cloud | Linux | Security | Edge Computing | AWS IoT | Azure IoT | Raspberry Pi | Arduino | Firmware Development | Data Analytics | API Integration | Device Management | Wireless Protocols
Network Engineer,Networking | TCP/IP | Cisco | Routing Protocols | Switching | Firewalls | VPN | Network Security | Linux | Cloud Networking | BGP | OSPF | MPLS | QoS | Network Automation | Python | Wireshark | Load Balancing | DNS | SD-WAN
IT Support Specialist,Windows | Troubleshooting | Networking | Active Directory | Hardware | Communication | Office 365 | Linux | PowerShell | Ticketing Systems | VPN | Remote Desktop | ITIL | Customer Service | Backup Recovery | Printer Management | Mobile Device Management | Email Administration | Security Awareness | Documentation
Network Security Engineer,Network Security | Networking | Firewalls | IDS/IPS | VPN | Linux | Security Fundamentals | Cryptography | Python | Cloud Security | Zero Trust | NAC | SIEM | PKI | DDoS Mitigation | Packet Analysis | Security Policies | Identity Management | Threat Modeling | Compliance
Fintech Developer,Python | Java | REST API | SQL | Payment Systems | Security | Microservices | Kafka | Docker | Cryptography | PCI-DSS | Spring Boot | Redis | Fraud Detection | Regulatory Compliance | ISO 8583 | Swift Messaging | Open Banking | Real-Time Processing | API Gateway
SEO Specialist,SEO | Google Analytics | Keyword Research | Content Writing | Technical SEO | Link Building | Google Search Console | Ahrefs/Semrush | HTML | Data Analysis | Schema Markup | Page Speed Optimization | WordPress | Core Web Vitals | Local SEO | E-commerce SEO | International SEO | Content Strategy | Competitive Analysis | Reporting
Technical Writer,Technical Writing | Documentation | Communication | Markdown | API Documentation | HTML | Git | Research Skills | Diagramming Tools | Content Strategy | DITA | XML | Style Guides | Version Control | Information Architecture | User Manuals | Release Notes | Knowledge Base | Collaboration Tools | Editing
Prompt Engineer,Prompt Engineering | LLMs | Python | NLP | LangChain | API Integration | RAG | Fine Tuning | Communication | Data Analysis | Evaluation Frameworks | Chain-of-Thought | Few-Shot Learning | Context Management | Model Selection | Bias Mitigation | Output Parsing | A/B Testing | Documentation | Workflow Automation
Robotics Engineer,Python | C++ | ROS | Computer Vision | Kinematics | Machine Learning | Electronics | Linux | Mathematics | Simulation | SLAM | Path Planning | Sensor Fusion | Control Systems | Gazebo | PCB Design | Embedded Systems | Hardware Integration | Testing | Computer Aided Design
Salesforce Developer,Salesforce | Apex | Visualforce | Lightning Web Components | SOQL | REST API | JavaScript | Git | CRM Knowledge | Integration | Process Builder | Flow Automation | Salesforce Administration | Metadata API | Salesforce DX | Triggers | Batch Processing | Einstein Analytics | Community Cloud | CPQ
DevSecOps Engineer,Security | DevOps | CI/CD | Docker | Kubernetes | Python | Cloud | OWASP | Terraform | Linux | SAST/DAST | Secret Management | Vulnerability Scanning | Compliance as Code | Container Security | Policy as Code | Incident Response | Risk Assessment | Security Automation | Git
Site Reliability Engineer (SRE),Linux | Python | Monitoring | Kubernetes | Docker | Incident Management | Cloud | Distributed Systems | SLO/SLA | Prometheus | Grafana | Chaos Engineering | Automation | Bash | Git | Networking | On-Call | Capacity Planning | Postmortem Analysis | Runbooks
ERP Developer,SAP | ABAP | SQL | ERP Systems | Business Processes | Integration | BAPI/RFC | Smart Forms | ALV Reports | Debugging | SAP Modules | SAP Fiori | OData | REST API | Java | Cloud | Documentation | Testing | Change Management | User Training
Data Governance Analyst,Data Governance | SQL | Data Quality | Metadata Management | Data Catalog | Communication | Excel | Business Acumen | Data Policies | Stakeholder Management | GDPR | Data Lineage | Master Data Management | Data Stewardship | Power BI | Documentation | Risk Management | Data Architecture | Compliance | Change Management
Kubernetes Engineer,Kubernetes | Docker | Linux | Cloud | Terraform | Helm | CI/CD | Networking | Monitoring | Python | Service Mesh | Istio | Security | Storage | Operators | GitOps | ArgoCD | Bash | Cluster Management | Performance Tuning
Big Data Engineer,Apache Spark | Hadoop | Python | SQL | Apache Kafka | Cloud | Scala | Data Pipelines | Hive | HBase | Flink | YARN | Data Warehousing | ETL | NoSQL | Linux | Distributed Systems | Data Lake | Databricks | Delta Lake
Full Stack Machine Learning Engineer,Python | Machine Learning | React | FastAPI | Docker | SQL | Deep Learning | Cloud | Git | REST API | MLOps | TypeScript | PostgreSQL | Redis | Kubernetes | Testing | CI/CD | Feature Engineering | Model Deployment | Monitoring
Solutions Engineer,Technical Sales | REST API | Cloud | Communication | SQL | Python | Networking | Security | Docker | Solution Architecture | Pre-Sales | Customer Success | Integration | Presentation Skills | Troubleshooting | CRM | Product Knowledge | Scripting | Use Case Development | Stakeholder Management
Automation Engineer,Python | Selenium | CI/CD | Testing | Bash | Linux | Docker | Git | Java | REST API Testing | Performance Testing | Test Frameworks | BDD | Cucumber | Jenkins | Robot Framework | Ansible | Monitoring | Reporting | Agile
Enterprise Architect,Enterprise Architecture | System Design | Cloud | Business Strategy | TOGAF | Communication | Security | Integration Patterns | Stakeholder Management | Risk Management | Technology Roadmap | Digital Transformation | API Design | Governance | Data Architecture | Solution Design | Cost Optimization | Vendor Management | Change Management | Documentation
Security Engineer,Security Fundamentals | Python | Network Security | Cloud Security | Cryptography | Linux | Incident Response | Vulnerability Management | SIEM | IAM | Zero Trust | Docker | Kubernetes | Threat Modeling | Compliance | Security Automation | Bash | Git | Penetration Testing | Forensics
Platform Engineer,Kubernetes | Docker | Linux | Cloud | Terraform | CI/CD | Python | Monitoring | Security | Helm | Service Mesh | GitOps | Networking | Bash | Ansible | Developer Experience | Internal Tooling | Observability | Cost Optimization | Documentation
iOS/Android Cross Platform Developer,Flutter | Dart | React Native | JavaScript | REST API | Git | Testing | Firebase | State Management | TypeScript | UI/UX Design | Animations | Offline Storage | Push Notifications | App Store Deployment | CI/CD | Debugging | Performance Optimization | Deep Linking | Analytics
Rust Developer,Rust | Systems Programming | C/C++ | Memory Management | Concurrency | WebAssembly | Linux | Git | Testing | Performance Optimization | Async Programming | Cargo | Networking | Embedded Systems | Safety Programming | CLI Development | Cross-platform Development | Documentation | Cryptography | API Design
Go Developer,Go | REST API | Microservices | Docker | SQL | Linux | Git | Concurrency | Cloud | Kubernetes | gRPC | Testing | Performance Optimization | Bash | Networking | Redis | Message Queues | CI/CD | Security | Monitoring
Scala Developer,Scala | Apache Spark | Functional Programming | Java | Akka | Kafka | SQL | Git | Big Data | Docker | Testing | Play Framework | SBT | NoSQL | Cloud | Stream Processing | Distributed Systems | Linux | CI/CD | Design Patterns
Ruby Developer,Ruby | Ruby on Rails | SQL | REST API | JavaScript | HTML | CSS | Git | Testing | Linux | RSpec | Sidekiq | Redis | PostgreSQL | Docker | MVC Architecture | API Design | Authentication | Caching | Cloud
Swift Developer,Swift | iOS Development | macOS Development | Xcode | SwiftUI | REST API | Core Data | Git | Testing | Concurrency | Combine | Package Manager | App Store | Instruments | Objective-C | CloudKit | Push Notifications | In-App Purchase | Accessibility | Localization
R Developer,R | Statistics | Data Analysis | ggplot2 | dplyr | Machine Learning | SQL | Shiny | R Markdown | tidyverse | Time Series | Statistical Modeling | Data Visualization | Bioinformatics | Excel | Python | Git | Reporting | ETL | Reproducible Research
COBOL Developer,COBOL | Mainframe Systems | JCL | CICS | DB2 | MQ Series | Batch Processing | File Handling | VSAM | Debugging | Performance Tuning | z/OS | TSO/ISPF | Copybooks | Rehosting | Legacy Migration | Testing | Documentation | RACF | Banking Systems
Low Code Developer,Power Platform | Power Apps | Power Automate | SharePoint | Dynamics 365 | SQL | JavaScript | REST API | Logic Apps | Azure | Process Automation | Data Integration | UI Design | Testing | Business Analysis | PowerBI | Formula Language | Workflow Design | API Connectors | Documentation
Digital Marketing Tech,Google Analytics | SEO | SEM | Social Media Marketing | Email Marketing | CRM | A/B Testing | Data Analysis | HTML/CSS | Marketing Automation | HubSpot | Salesforce | SQL | Content Strategy | PPC Advertising | Conversion Optimization | UTM Tracking | Attribution Modeling | Reporting | Facebook Ads
IT Auditor,IT Audit | Risk Management | Compliance | Security Fundamentals | Networking | SQL | Communication | COBIT | ITIL | SOX | GDPR | Cloud | Documentation | Data Analysis | Stakeholder Management | Internal Controls | Vulnerability Assessment | Change Management | Business Processes | Reporting
Helpdesk Technician,Troubleshooting | Windows | Networking | Communication | Active Directory | Hardware | Office 365 | ITIL | Ticketing Systems | Customer Service | Remote Desktop | Linux | VPN | Mobile Device Management | Security Awareness | Documentation | Printer Support | Escalation Management | Email Administration | User Training
Cloud Data Engineer,Python | SQL | Cloud | Spark | Airflow | Data Pipelines | dbt | Snowflake | BigQuery | Redshift | Kafka | Data Warehousing | ETL | Delta Lake | Git | Docker | Data Quality | CI/CD | Monitoring | Terraform
Research Scientist (AI),Python | Machine Learning | Deep Learning | Research | Mathematics | Statistics | PyTorch | TensorFlow | Paper Writing | Experimentation | Literature Review | NLP | Computer Vision | Reinforcement Learning | Data Analysis | GPU Programming | Distributed Training | Benchmarking | Reproducibility | Collaboration
AI Safety Engineer,Machine Learning | Python | Safety Engineering | Ethics | Interpretability | Red Teaming | Alignment Research | Risk Assessment | Reinforcement Learning | LLMs | Communication | Research | Testing | Documentation | Robustness Testing | Bias Detection | Policy Understanding | Stakeholder Engagement | Mathematics | Deep Learning
